Round 1
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
3,Rumblin' Stumblers,Jaylen Waddle WR | DEN ,1 min 4 sec,#26 WR,199.2,144.7
4,Steel Your League,Evan Engram TE | DEN,21 sec,#29 TE,108.4,21.5
5,Prometheus Out of Bounds,Jakobi Meyers WR | JAC,18 sec,#36 WR,178,159.3
6,Ruff Necks,Travis Etienne RB | NO ,48 sec,#9 RB,287.5,211
7,The Young Core,Colston Loveland TE | CHI ,23 sec,#4 TE,210.6,21.4
8,Chicken Dinner,Kyler Murray QB | MIN ,36 sec,#39 QB,83.4,50.65
9,Pallino Primos,Matthew Golden WR | GB,15 sec,#78 WR,88.4,35.8
10,OnStar,*Brock Purdy QB | SF,1 sec,#21 QB,265.95,164.2
11,jerseyj,Jared Goff QB | DET ,7 sec,#7 QB,406.4,170.85
12,Dude Abides,Rome Odunze WR | CHI ,13 sec,#40 WR,168.9,94.7
Round 9
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Dude Abides,Jordan Mason RB | MIN,7 sec,#39 RB,133.9,36.1
2,jerseyj,Stefon Diggs WR | NE ,28 sec,#12 WR,266.3,142.6
3,OnStar,*Rhamondre Stevenson RB | NE,0 sec,#24 RB,237.1,70.6
4,Pallino Primos,Jauan Jennings WR | SF,1 min 25 sec,#34 WR,190.55,31.2
5,Chicken Dinner,Jordan Love QB | GB,28 sec,#11 QB,352.4,231.55
6,The Young Core,Cooper Kupp WR | SEA,16 sec,#58 WR,153,11.9
7,Ruff Necks,Justin Fields QB | KC ,35 sec,#32 QB,144.25,90.95
8,Prometheus Out of Bounds,Keon Coleman WR | BUF,32 sec,#60 WR,120,35.5
9,Steel Your League,Ravens DST | BAL ,17 sec,#15 DST,236.2,36.1
10,Rumblin' Stumblers,Tank Bigsby RB | PHI,31 sec,#65 RB,60.8,0
11,Three-Eyed RAVEN,Chris Olave WR | NO ,4 sec,#6 WR,285.3,208.1
12,Mulvihill Machine,Jordan Addison WR | MIN ,1 min 22 sec,#44 WR,148.1,146.3
Round 10
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Mulvihill Machine,Dalton Kincaid TE | BUF ,59 sec,#14 TE,168.2,27.5
2,Three-Eyed RAVEN,De'Von Achane RB | MIA  (Keeper),0 sec,#6 RB,348.8,348.8
