Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
10,9,117,Ruff Necks,Ben Roethlisberger QB |,QB,False,False,35 sec,,,
10,10,118,No longer new guy,Rams DST | LAR,DST,False,False,60 sec,,,
10,11,119,Lewd,Jared Cook TE |,TE,False,False,21 sec,,,
10,12,120,OnStar,DeVante Parker WR |,WR,False,False,51 sec,,,
11,1,121,OnStar,Emmanuel Sanders WR |,WR,False,False,1 min 8 sec,,,
11,2,122,Lewd,Cam Newton QB |,QB,False,False,15 sec,,,
11,3,123,No longer new guy,Kyler Murray QB | MIN,QB,True,False,0 sec,,,
11,4,124,Ruff Necks,Chargers DST | LAC,DST,False,False,8 sec,,,
11,5,125,Steel Your League,Bears DST | CHI,DST,False,False,8 sec,,,
11,6,126,Chicken Dinner,Mike Gesicki TE | CIN,TE,False,False,1 min 10 sec,,,
11,7,127,Mulvihill Machine,Gardner Minshew QB | ARI,QB,False,False,1 min 19 sec,,,
11,8,128,Soaring Marmots,Nyheim Miller-Hines RB | NO,RB,False,False,13 sec,,,
11,9,129,Rumblin' Stumblers,Kerryon Johnson RB |,RB,False,False,0 sec,,,
11,10,130,Dude Abides,Blake Jarwin TE |,TE,False,False,40 sec,,,
11,11,131,Pallino Primos,Chris Herndon TE |,TE,False,False,22 sec,,,
11,12,132,Three-Eyed RAVEN,DeSean Jackson WR |,WR,False,False,31 sec,,,
12,1,133,Three-Eyed RAVEN,Chiefs DST | KC,DST,False,False,4 sec,,,
12,2,134,Pallino Primos,Chris Thompson RB |,RB,False,False,1 min 10 sec,,,
12,3,135,Dude Abides,Alexander Mattison RB | MIA,RB,False,False,22 sec,,,
12,4,136,Rumblin' Stumblers,Austin Hooper TE | ATL,TE,False,False,0 sec,,,
12,5,137,Soaring Marmots,Justin Tucker K | BAL,K,False,False,13 sec,,,
12,6,138,Mulvihill Machine,Harrison Butker K | KC,K,False,False,25 sec,,,
