Round 1
4,Ruff Necks,Hayden Hurst TE | LAC ,,9 sec
5,Steel Your League,George Kittle TE | SF  (Keeper),,0 sec
6,Chicken Dinner,CeeDee Lamb WR | DAL ,,20 sec
7,Mulvihill Machine,Marlon Mack RB | ARI,,1 min 50 sec
8,Soaring Marmots,Patrick Mahomes QB | KC  (Keeper),,0 sec
9,Rumblin' Stumblers,Russell Wilson QB | NYG (Keeper),,0 sec
10,Dude Abides,Jared Goff QB | DET ,,1 min 54 sec
11,Pallino Primos,James Robinson RB | NO,,11 sec
12,Three-Eyed RAVEN,Mark Andrews TE | BAL  (Keeper),,0 sec
Round 10
Pick,Team,Player,Elig,Elapsed Time,
1,Three-Eyed RAVEN,Josh Allen QB | BUF ,,6 sec
2,Pallino Primos,Noah Fant TE | NO ,,1 min 31 sec
3,Dude Abides,Patriots DST | NE ,,12 sec
4,Rumblin' Stumblers,David Montgomery RB | HOU ,,0 sec
5,Soaring Marmots,Rob Gronkowski TE | ,,17 sec
6,Mulvihill Machine,Jonnu Smith TE | PIT ,,27 sec
7,Chicken Dinner,Jerry Jeudy WR | CLE,,28 sec
8,Steel Your League,Matthew Stafford QB | LAR ,,39 sec
9,Ruff Necks,Ben Roethlisberger QB | ,,35 sec
10,No longer new guy,Rams DST | LAR ,,60 sec
11,Lewd,Jared Cook TE | ,,21 sec
12,OnStar,DeVante Parker WR | ,,51 sec
Round 11
Pick,Team,Player,Elig,Elapsed Time,
1,OnStar,Emmanuel Sanders WR | ,,1 min 8 sec
2,Lewd,Cam Newton QB | ,,15 sec
3,No longer new guy,Kyler Murray QB | MIN  (Keeper),,0 sec
4,Ruff Necks,Chargers DST | LAC ,,8 sec
5,Steel Your League,Bears DST | CHI ,,8 sec
6,Chicken Dinner,Mike Gesicki TE | CIN,,1 min 10 sec
7,Mulvihill Machine,Gardner Minshew QB | ARI ,,1 min 19 sec
8,Soaring Marmots,Nyheim Miller-Hines RB | NO,,13 sec
9,Rumblin' Stumblers,Kerryon Johnson RB | ,,0 sec
10,Dude Abides,Blake Jarwin TE | ,,40 sec
11,Pallino Primos,Chris Herndon TE | ,,22 sec
12,Three-Eyed RAVEN,DeSean Jackson WR | ,,31 sec
Round 12
Pick,Team,Player,Elig,Elapsed Time,
1,Three-Eyed RAVEN,Chiefs DST | KC ,,4 sec
2,Pallino Primos,Chris Thompson RB | ,,1 min 10 sec
3,Dude Abides,Alexander Mattison RB | MIA ,,22 sec
4,Rumblin' Stumblers,Austin Hooper TE | ATL ,,0 sec
