Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
1,1,1,Dude Abides,Ja'Marr Chase WR | CIN,WR,False,False,,#3 WR,350.9,327.3
3,5,29,Chicken Dinner,Malik Nabers WR | NYG,WR,True,False,0 sec,#102 WR,62.1,62.1
3,6,30,The Young Core,James Conner RB | ARI,RB,False,False,53 sec,#82 RB,33.3,33.3
3,7,31,Ruff Necks,Trey McBride TE | ARI,TE,True,False,0 sec,#1 TE,330.9,317.4
3,8,32,Prometheus Out of Bounds,D'Andre Swift RB | CHI,RB,False,False,26 sec,#13 RB,270.6,99.1
3,9,33,Steel Your League,Davante Adams WR | LAR,WR,False,False,6 sec,#11 WR,263.4,227.9
3,10,34,Rumblin' Stumblers,Chuba Hubbard RB | CAR,RB,False,False,35 sec,#34 RB,145.3,65.6
3,11,35,Three-Eyed RAVEN,Marvin Harrison Jr. WR | ARI,WR,False,False,56 sec,#50 WR,127.8,56.1
3,12,36,Mulvihill Machine,Mike Evans WR | SF,WR,False,False,1 min 6 sec,#77 WR,89.8,34.0
4,1,37,Mulvihill Machine,Tyreek Hill WR | MIA,WR,False,False,7 sec,#105 WR,58.5,58.5
4,2,38,Three-Eyed RAVEN,DK Metcalf WR | PIT,WR,False,False,51 sec,#25 WR,206.4,162.4
4,3,39,Rumblin' Stumblers,Terry McLaurin WR | WAS,WR,False,False,1 min 26 sec,#59 WR,114.2,0.0
4,4,40,Steel Your League,George Pickens WR | DAL,WR,False,False,35 sec,#5 WR,316.9,315.0
4,5,41,Prometheus Out of Bounds,RJ Harvey RB | DEN,RB,False,False,9 sec,#21 RB,230.2,95.5
4,6,42,Ruff Necks,Breece Hall RB | NYJ,RB,False,False,38 sec,#19 RB,232.7,184.3
4,7,43,The Young Core,Xavier Worthy WR | KC,WR,False,False,7 sec,#61 WR,109.9,104.4
4,8,44,Chicken Dinner,Garrett Wilson WR | NYJ,WR,False,False,56 sec,#66 WR,99.5,43.6
4,9,45,Pallino Primos,Kyren Williams RB | LAR,RB,True,False,0 sec,#10 RB,325.6,257.2
4,10,46,OnStar,Aaron Jones RB | MIN,RB,False,False,27 sec,#43 RB,118.7,104.2
4,11,47,jerseyj,Sam LaPorta TE | DET,TE,False,False,3 sec,#28 TE,106.9,106.9
4,12,48,Dude Abides,Puka Nacua WR | LAR,WR,True,False,0 sec,#1 WR,498.6,385.0
5,1,49,Dude Abides,Rashee Rice WR | KC,WR,False,False,34 sec,#41 WR,155.1,143.0
5,2,50,jerseyj,Jayden Daniels QB | WAS,QB,True,False,0 sec,#35 QB,124.9,89.2
5,3,51,OnStar,Tony Pollard RB | TEN,RB,False,False,1 min 13 sec,#23 RB,204.8,190.0
5,4,52,Pallino Primos,Courtland Sutton WR | DEN,WR,False,False,10 sec,#18 WR,248.7,178.0
5,5,53,Chicken Dinner,Zay Flowers WR | BAL,WR,False,False,1 min 15 sec,#7 WR,260.3,209.1
5,6,54,The Young Core,Isiah Pacheco RB | DET,RB,False,False,1 min 25 sec,#56 RB,87.6,41.4
5,7,55,Ruff Necks,Jameson Williams WR | DET,WR,False,False,14 sec,#10 WR,240.7,162.8
